frame.time_epoch,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.duplicate_ack,tcp.analysis.ack_rtt,tcp.window_size
1762830007.056260000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056265000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056270000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,4087,0,,,,0.007735000,132096
1762830007.056277000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056407000,10.10.216.21,443,10.10.64.28,18757,0x0010,13257,1199,2620,,,,,64384
1762830007.056423000,10.10.216.21,443,10.10.64.28,18756,0x0010,13257,1211,1310,,,,,64384
1762830007.056427000,10.10.216.21,443,10.10.64.28,18749,0x0010,28876,1938,2620,,,,,64256
1762830007.056431000,10.10.216.21,443,10.10.64.28,18749,0x0010,31496,1938,2620,,,,,64256
1762830007.056435000,10.10.216.21,443,10.10.64.28,18754,0x0010,32983,1227,1310,1,,,,64384
1762830007.056438000,10.10.216.21,443,10.10.64.28,18757,0x0010,15877,1199,5240,,,,,64384
1762830007.056442000,10.10.216.21,443,10.10.64.28,18756,0x0010,157,1211,1310,1,1,,,64384
1762830007.056445000,10.10.216.21,443,10.10.64.28,18756,0x0010,1467,1211,1310,1,1,,,64384
1762830007.056448000,10.10.216.21,443,10.10.64.28,18755,0x0010,13257,1201,3930,,,,,64384
1762830007.056452000,10.10.216.21,443,10.10.64.28,18756,0x0010,10637,1211,1310,1,1,,,64384
1762830007.056456000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,13257,0,,,,0.007904000,132096
1762830007.056474000,10.10.216.21,443,10.10.64.28,18755,0x0010,17187,1201,5240,,,,,64384
1762830007.056785000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,13257,0,,,,0.008410000,132096
1762830007.056821000,10.10.216.21,443,10.10.64.28,18755,0x0010,22427,1201,3930,,,,,64384
1762830007.056830000,10.10.216.21,443,10.10.64.28,18757,0x0010,21117,1199,3930,,,,,64384
1762830007.056847000,10.10.216.21,443,10.10.64.28,18749,0x0010,34116,1938,2620,,,,,64256
1762830007.056852000,10.10.216.21,443,10.10.64.28,18749,0x0010,36736,1938,2620,,,,,64256
1762830007.056920000,10.10.216.21,443,10.10.64.28,18757,0x0010,25047,1199,1310,,,,,64384
1762830007.056962000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056993000,10.10.216.21,443,10.10.64.28,18756,0x0010,14567,1211,1310,,,,,64384
1762830007.057080000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,35603,0,,,,0.001435000,132096
1762830007.057093000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,15877,0,,,,0.000686000,132096
1762830007.057113000,10.10.216.21,443,10.10.64.28,18754,0x0010,35603,1227,1310,1,,,,64384
1762830007.057117000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,32806,0,,,,0.000686000,132096
1762830007.057124000,10.10.216.21,443,10.10.64.28,18754,0x0010,36913,1227,1310,,,,,64384
1762830007.057126000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,34116,0,,,,0.000695000,132096
1762830007.057150000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,,,132096
1762830007.057164000,10.10.216.21,443,10.10.64.28,18757,0x0010,26357,1199,2620,,,,,64384
1762830007.057173000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,1\,1,,132096
1762830007.057175000,10.10.216.21,443,10.10.64.28,18749,0x0010,39356,1938,2620,,,,,64256
1762830007.057182000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,18497,0,,,,0.000744000,132096
1762830007.057198000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,1467,0,,,,0.008396000,132096
1762830007.057199000,10.10.216.21,443,10.10.64.28,18757,0x0010,28977,1199,2620,,,,,64384
1762830007.057214000,10.10.216.21,443,10.10.64.28,18749,0x0010,41976,1938,1310,,,,,64256
1762830007.057234000,10.10.216.21,443,10.10.64.28,18756,0x0010,15877,1211,2620,,,,,64384
1762830007.057254000,10.10.216.21,443,10.10.64.28,18756,0x0010,18497,1211,2620,,,,,64384
1762830007.057258000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,1467,0,,,1\,1,,132096
1762830007.057279000,10.10.216.21,443,10.10.64.28,18756,0x0010,1467,1211,1310,1,,,,64384
1762830007.057319000,10.10.216.21,443,10.10.64.28,18749,0x0018,43286,1938,831,,,,,64256
1762830007.057340000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,21117,0,,,,0.000902000,132096
1762830007.057361000,10.10.216.21,443,10.10.64.28,18757,0x0010,31597,1199,2620,,,,,64384
1762830007.057382000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,15877,0,,,,0.000934000,132096
1762830007.057393000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,22427,0,,,,0.000919000,132096
1762830007.057417000,10.10.216.21,443,10.10.64.28,18755,0x0010,26357,1201,2620,,,,,64384
1762830007.057428000,10.10.216.21,443,10.10.64.28,18755,0x0010,28977,1201,6550,,,,,64384
1762830007.057432000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,23737,0,,,,0.000611000,132096
1762830007.057525000,10.10.216.21,443,10.10.64.28,18755,0x0010,35527,1201,1310,,,,,64384
1762830007.057614000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,26357,0,,,,0.000793000,132096
1762830007.057641000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,36913,0,,,,0.001996000,132096
1762830007.057641000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,39356,0,,,,0.000789000,132096
1762830007.057651000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,26357,0,,,,0.000731000,132096
1762830007.057679000,10.10.216.21,443,10.10.64.28,18755,0x0010,36837,1201,3930,,,,,64384
1762830007.057682000,10.10.216.21,443,10.10.64.28,18757,0x0010,34217,1199,6550,,,,,64384
1762830007.057697000,10.10.216.21,443,10.10.64.28,18754,0x0010,38223,1227,1310,,,,,64384
1762830007.057774000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,1467,0,,,1\,1,,132096
1762830007.057797000,10.10.216.21,443,10.10.64.28,18756,0x0010,14567,1211,1310,1,1,,,64384
1762830007.057810000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,44117,0,,,,0.000491000,132096
1762830007.057903000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,32907,0,,,,0.000542000,132096
1762830007.057938000,10.10.216.21,443,10.10.64.28,18757,0x0010,40767,1199,6550,,,,,64384
1762830007.057977000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,1467,0,,,1\,1,,132096
1762830007.058021000,10.10.216.21,443,10.10.64.28,18756,0x0010,17187,1211,1310,1,1,,,64384
1762830007.058032000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,1467,0,,,1\,1,,132096
1762830007.058040000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,14567,0,,,,0.001617000,132096
1762830007.058047000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,36837,0,,,,0.000522000,132096
1762830007.058062000,10.10.216.21,443,10.10.64.28,18756,0x0010,21117,1211,1310,,,,,64384
1762830007.058069000,10.10.216.21,443,10.10.64.28,18755,0x0010,40767,1201,6550,,,,,64384
1762830007.058075000,10.10.216.21,443,10.10.64.28,18756,0x0010,22427,1211,1310,,,,,64384
1762830007.058092000,10.10.216.21,443,10.10.64.28,18755,0x0010,47317,1201,3930,,,,,64384
1762830007.058216000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,34217,0,,,,0.000855000,132096
1762830007.058232000,10.10.216.21,443,10.10.64.28,18757,0x0010,47317,1199,1310,,,,,64384
1762830007.058249000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,39533,0,,,,0.000552000,132096
1762830007.058269000,10.10.216.21,443,10.10.64.28,18754,0x0010,39533,1227,1310,,,,,64384
1762830007.058279000,10.10.216.21,443,10.10.64.28,18754,0x0010,40843,1227,1310,,,,,64384
1762830007.058283000,10.10.216.21,443,10.10.64.28,18754,0x0010,42153,1227,1310,,,,,64384
1762830007.058391000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,40767,0,,,,0.000712000,132096
1762830007.058513000,10.10.216.21,443,10.10.64.28,18755,0x0010,51247,1201,3930,,,,,64384
1762830007.058533000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,38147,0,,,,0.000851000,132096
1762830007.058593000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,42077,0,,,,0.000655000,132096
1762830007.058614000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,14567,0,,,1\,1,,132096
1762830007.058617000,10.10.216.21,443,10.10.64.28,18757,0x0010,48627,1199,6550,,,,,64384
1762830007.058627000,10.10.64.28,18755,10.10.216.21,443,0x0010,1201,42077,0,,,,0.000558000,132096
1762830007.058629000,10.10.216.21,443,10.10.64.28,18757,0x0010,55177,1199,1310,,,,,64384
1762830007.058633000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,47317,0,,,,0.000695000,132096
1762830007.058648000,10.10.216.21,443,10.10.64.28,18757,0x0010,56487,1199,5240,,,,,64384
1762830007.058669000,10.10.216.21,443,10.10.64.28,18756,0x0010,14567,1211,1310,1,,,,64384
1762830007.058681000,10.10.216.21,443,10.10.64.28,18755,0x0010,55177,1201,1310,,,,,64384
1762830007.058700000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,39533,0,,,1\,1,,132096
1762830007.058728000,10.10.216.21,443,10.10.64.28,18754,0x0010,43463,1227,1310,,,,,64384
1762830007.058737000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,14567,0,,,1\,1,,132096
1762830007.058747000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,14567,0,,,1\,1,,132096
1762830007.058749000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,39533,0,,,1\,1,,132096
